url_length,has_https,contains_at_symbol,suspicious_keyword,url,label
22,1,0,0,https://www.google.com,0
25,1,0,0,https://www.microsoft.com,0
25,1,0,0,https://www.wikipedia.org,0
18,1,0,0,https://github.com,0
22,1,0,0,https://www.amazon.com,0
21,1,0,0,https://www.apple.com,0
21,1,0,0,https://www.bbc.co.uk,0
24,1,0,0,https://www.unikl.edu.my,0
23,1,0,0,https://mail.google.com,0
22,1,0,0,https://www.python.org,0
26,1,0,0,https://www.cloudflare.com,0
19,1,0,0,https://www.who.int,0
44,0,0,1,http://secure-login-paypal-verify-account.tk,1
41,0,0,1,http://appleid-update-security-check.info,1
37,0,0,1,http://www.micros0ft-login-verify.com,1
43,0,0,1,http://bank-secure-update-account-alert.xyz,1
39,0,0,1,http://verify-your-account-now-login.cf,1
46,0,0,1,http://www.paypal-secure-signin.com-verify.net,1
41,0,0,1,http://amaz0n-account-suspended-verify.ga,1
47,0,0,1,http://192.168.1.10/login/secure/update-account,1
39,0,0,1,http://facebook-security-check-login.ml,1
47,0,0,1,http://www.dropbox-file-shared-verify-login.com,1
47,0,0,1,http://update-icloud-password-secure-login.info,1
44,0,0,1,http://webmail-account-verify-login-alert.tk,1
