url,label
https://www.google.com,0
https://www.microsoft.com,0
https://www.wikipedia.org,0
https://github.com,0
https://www.amazon.com,0
https://www.apple.com,0
https://www.bbc.co.uk,0
https://www.unikl.edu.my,0
https://mail.google.com,0
https://www.python.org,0
https://www.cloudflare.com,0
https://www.who.int,0
http://secure-login-paypal-verify-account.tk,1
http://appleid-update-security-check.info,1
http://www.micros0ft-login-verify.com,1
http://bank-secure-update-account-alert.xyz,1
http://verify-your-account-now-login.cf,1
http://www.paypal-secure-signin.com-verify.net,1
http://amaz0n-account-suspended-verify.ga,1
http://192.168.1.10/login/secure/update-account,1
http://facebook-security-check-login.ml,1
http://www.dropbox-file-shared-verify-login.com,1
http://update-icloud-password-secure-login.info,1
http://webmail-account-verify-login-alert.tk,1
